"#Report name","Broadcast RCs by popularity - Browsers"
"#Site","broadcastredbutton"
"#Reporting period","01-09-2018 until 30-09-2018"
"#Segment","All browsers"
"#Visit filter","All visits"
"#Event filter","All events"

"#Broadcast MHEG RCs by Popularity - Browsers"

"action_type","rc_transition"
"action_name","transition"

"destination_rc","Browsers"
"/d/r/sp/HLG","107,529"
"/d/r/we/HQU","106,941"
"/b/bridge_\c_\n","106,936"
"/d/r/sp/PT","106,405"
"/d/r/sp/f0","105,860"
"/d/r/sp/HJU","105,692"
"/d/r/ne/af","104,907"
"/d/r/sp/2db","104,482"
"/d/r/ne/IJK","104,193"
"/d/r/ne/b0","104,167"
"/tier1/rc/ne/10SimpleStory10","103,840"
"/d/r/ne/b2","103,639"
"/d/r/sp/HKS","103,603"
"/d/r/ne/b1","103,051"
"/tier1/rc/ne/NewsWorld","102,965"
"/d/r/ne/32f","102,500"
"/d/r/we/HPJ","102,473"
"/tier1/rc/ne/NewsIndexsub1","102,070"
"/tv/rc/bridge_B1HD_EN","100,555"
"/d/r/ne/119","98,974"
"/d/r/we/HPK","98,654"
"/d/r/sp/2a5","97,304"
"/d/r/sp/HLP","97,149"
"/d/r/ne/1e7","96,897"
"/d/r/ne/10c","96,276"
"/d/r/ne/ILH","96,169"
"/d/r/we/HPL","94,716"
"/d/r/sp/330","94,599"
"/c/tvIp_BN","94,582"
"/d/r/ne/118","94,322"
"/d/r/ne/21d","94,232"
"/tier1/rc/ne/NewsHeadlinessub2","93,504"
"/d/r/sp/1a5","93,417"
"/d/r/we/HPQ","93,305"
"/d/r/ne/ILN","92,251"
"/d/r/ne/11a","91,545"
"/tier1/rc/ne/NewsUKsub1","90,738"
"/d/r/we/HQR","90,176"
"/d/r/sp/HLR","90,089"
"/d/r/ne/67","89,398"
"/d/r/we/HQM","89,313"
"/b/bridge_B4","89,150"
"/d/r/we/HPP","89,039"
"/d/r/ne/1a1","87,709"
"/d/r/sp/198","87,268"
"/d/r/we/HPI","86,852"
"/d/r/ne/23c","86,597"
"/tier1/rc/sp/SportCricket","86,570"
"/d/r/we/HQV","86,451"
"/tier1/rc/ne/NewsUKRegionsEngland","86,375"
"/d/r/tr/RT","86,313"
"/d/r/sp/250","85,514"
"/d/r/ne/IJV","83,880"
"/tier1/rc/we/weathermenu","83,354"
"/d/r/ne/IHT","82,839"
"/d/r/ne/166","82,576"
"/b/bridge_B1HD_SC","81,922"
"/d/r/sp/24a","80,971"
"/d/r/ne/66","79,885"
"/d/r/tr/3a0","79,028"
"/d/r/sp/HLS","78,799"
"/d/r/ne/fe","78,493"
"/d/r/sp/HJQ","77,746"
"/d/r/ne/86","77,329"
"/d/r/ne/b3","77,150"
"/d/r/sp/252","77,062"
"/d/r/ne/109","77,036"
"/d/r/ne/IHU","76,957"
"/d/r/sp/326","76,488"
"/d/r/sp/33e","76,260"
"/d/r/ne/68","76,249"
"/d/r/ne/2ff","76,244"
"/d/r/sp/204","75,943"
"/tier1/rc/ne/BusinessNews","75,754"
"/d/r/ne/220","75,638"
"/d/r/ne/104","75,527"
"/d/r/ne/2ee","75,356"
"/tier1/rc/we/weatherregionmenu","75,060"
"/d/r/sp/197","74,970"
"/d/r/ne/2a4","74,093"
"/d/r/we/HQK","73,859"
"/d/r/we/HQO","73,657"
"/d/r/ne/1a4","73,400"
"/d/r/ne/2a3","73,159"
"/d/r/ne/IKQ","72,900"
"/d/r/ne/IKK","72,542"
"/d/r/sp/2dc","72,517"
"/tier1/rc/sp/97SimpleStory0","72,501"
"/d/r/ne/IKJ","72,227"
"/tier1/rc/sp/SportCricketScores","71,724"
"/tier1/rc/sp/98SimpleStory1","71,506"
"/d/r/ne/da","71,383"
"/d/r/ne/IJJ","71,368"
"/d/r/ne/170","71,302"
"/d/r/ne/IHS","71,211"
"/d/r/en/146","71,207"
"/d/r/ne/29e","71,133"
"/tier1/rc/sp/97SimpleStory4","70,929"
"/d/r/ne/c2","70,871"
"/d/r/ne/84","70,596"
"/c/tvIp_B1HD_EN","70,392"
"/tier1/rc/sp/SportFootballNewssub1","70,272"
"/d/r/ne/ILM","70,078"
"/d/r/sp/2cd","69,368"
"/d/r/sp/HKH","69,083"
"/tier1/rc/ne/NewsUKsub2","68,750"
"/tier1/rc/en/EntertainmentNews","68,724"
"/d/r/sp/372","68,631"
"/d/r/sp/1b5","67,976"
"/tier1/rc/sp/97SimpleStory3","67,768"
"/b/bridge_BLR","67,765"
"/d/r/ne/c1","67,395"
"/d/r/ne/221","67,393"
"/d/r/ne/289","66,793"
"/d/r/ne/1c8","66,540"
"/d/r/sp/227","66,052"
"/d/r/ne/11b","66,042"
"/d/r/ne/85","65,962"
"/d/r/ne/IJR","65,694"
"/d/r/ne/2d1","65,619"
"/d/r/ne/105","65,504"
"/d/r/ne/IIT","65,454"
"/tier1/rc/ne/11SimpleStory9","65,325"
"/tier1/rc/sp/97SimpleStory2","65,320"
"/d/r/we/HQN","65,250"
"/d/r/ne/108","65,175"
"/d/r/ne/1a3","64,341"
"/d/r/ne/IIQ","64,186"
"/d/r/ne/28a","63,979"
"/d/r/ne/107","63,813"
"/tier1/rc/ne/11SimpleStory10","63,734"
"/tier1/rc/sp/98SimpleStory2","63,668"
"/tier1/rc/ne/NewsWorldsub1","63,612"
"/c/tvIp_B1_SC","63,609"
"/d/r/ne/21b","63,433"
"/d/r/ne/21a","63,429"
"/d/r/ne/106","63,341"
"/d/r/sp/117","63,091"
"/d/r/ne/293","63,005"
"/d/r/sp/134","62,943"
"/d/r/ne/11c","62,801"
"/d/r/ne/214","62,715"
"/d/r/ne/276","62,341"
"/d/r/ne/IKP","62,172"
"/d/r/ne/IIU","62,133"
"/d/r/ne/213","62,009"
"/d/r/ne/270","61,947"
"/d/r/sp/30c","61,896"
"/d/r/ne/IKG","61,713"
"/tier1/rc/ne/11SimpleStory8","61,614"
"/d/r/sp/199","61,401"
"/d/r/sp/2ef","61,192"
"/d/r/ne/d9","61,173"
"/d/r/ne/IKI","61,010"
"/d/r/ne/16f","60,873"
"/d/r/sp/HJV","60,686"
"/d/r/ne/277","60,679"
"/d/r/sp/HLU","60,412"
"/tier1/rc/sp/97SimpleStory1","59,905"
"/d/r/ne/d8","59,604"
"/d/r/ne/2d3","59,548"
"/d/r/ne/2fa","59,459"
"/d/r/we/HQH","59,458"
