"#Report name","Broadcast RCs by popularity - Browsers"
"#Site","broadcastredbutton"
"#Reporting period","01-10-2018 until 31-10-2018"
"#Segment","All browsers"
"#Visit filter","All visits"
"#Event filter","All events"

"#Broadcast MHEG RCs by Popularity - Browsers"

"action_type","rc_transition"
"action_name","transition"

"destination_rc","Browsers"
"/d/r/we/HQQ","141,424"
"/d/r/we/HQS","140,885"
"/d/r/sp/375","140,779"
"/d/r/ne/1c3","139,696"
"/d/r/ne/PH","138,959"
"/d/r/ne/IJN","138,458"
"/d/r/sp/18a","138,452"
"/tier1/rc/sp/98SimpleStory0","137,061"
"/d/r/ne/23f","136,612"
"/tier1/rc/ne/NewsUKRegions","136,301"
"/c/tvIp_B2_EN","136,205"
"/d/r/sp/HJU","135,939"
"/d/r/we/HPV","135,680"
"/d/r/tr/RR","132,774"
"/d/r/ne/23b","130,875"
"/d/r/ne/IJM","130,265"
"/d/r/ne/32e","127,150"
"/d/r/ne/28d","126,959"
"/d/r/ne/28e","126,913"
"/d/r/ne/df","126,091"
"/d/r/ne/28c","125,674"
"/tier1/rc/ne/BusinessIndex","125,372"
"/d/r/ne/de","125,159"
"/d/r/ne/10c","124,874"
"/d/r/ne/e0","124,468"
"/d/r/en/18e","124,395"
"/d/r/ne/ae","123,197"
"/tv/rc/bridge_BNHD","122,364"
"/d/r/ne/23e","122,251"
"/d/r/ne/PJ","121,519"
"/d/r/sp/HKQ","120,305"
"/d/r/we/HQL","118,916"
"/tier1/rc/sp/SportHeadlines","118,650"
"/d/r/ne/IJL","117,493"
"/d/r/ne/23d","117,259"
"/b/bridge_B2_SC","116,488"
"/d/r/we/HPT","113,894"
"/d/r/ne/af","113,773"
"/d/r/we/HQJ","113,394"
"/tier1/rc/ne/NewsWorld","113,384"
"/d/r/ne/b0","113,187"
"/d/r/we/HQU","113,120"
"/d/r/we/HQT","112,953"
"/d/r/ne/1a1","112,699"
"/d/r/ne/b1","112,550"
"/d/r/ne/b2","111,582"
"/d/r/sp/eb","111,563"
"/tier1/rc/ne/NewsIndexsub1","110,413"
"/tv/rc/bridge_B2HD","110,167"
"/d/r/sp/HLG","108,817"
"/d/r/ne/IJK","108,452"
"/d/r/sp/PT","108,110"
"/d/r/ne/32f","107,458"
"/d/r/ne/166","107,330"
"/d/r/ne/119","106,854"
"/d/r/ne/1e7","106,791"
"/tv/rc/bridge_B1HD_EN","104,719"
"/d/r/ne/ILH","103,889"
"/b/bridge_B4","103,490"
"/b/bridge_\c_\n","103,436"
"/d/r/sp/83","102,210"
"/d/r/ne/118","101,972"
"/d/r/tr/RT","100,604"
"/d/r/ne/ILN","100,193"
"/c/tvIp_BN","100,056"
"/d/r/ne/21d","99,197"
"/tier1/rc/ne/NewsUKsub1","99,154"
"/d/r/we/HPJ","98,361"
"/d/r/sp/HKJ","98,310"
"/d/r/sp/133","97,392"
"/d/r/sp/135","96,842"
"/d/r/ne/11a","96,788"
"/d/r/sp/250","96,384"
"/d/r/en/146","96,147"
"/d/r/we/HPK","95,889"
"/tier1/rc/ne/10SimpleStory10","95,270"
"/tier1/rc/ne/NewsUKRegionsEngland","94,058"
"/d/r/we/HPL","93,568"
"/d/r/sp/1a5","93,383"
"/d/r/we/HQR","93,040"
"/d/r/ne/86","92,910"
"/d/r/we/HQV","92,183"
"/d/r/sp/1d5","90,496"
"/d/r/ne/1a4","89,754"
"/d/r/we/HPP","88,634"
"/d/r/ne/2ee","88,171"
"/d/r/ne/23c","87,848"
"/d/r/ne/IJV","87,699"
"/d/r/sp/HKM","87,696"
"/d/r/we/HQM","86,768"
"/tier1/rc/ne/BusinessNews","86,652"
"/d/r/ne/84","86,350"
"/d/r/ne/2a4","86,111"
"/tier1/rc/ne/NewsHeadlinessub2","86,002"
"/d/r/we/HPQ","85,289"
"/b/bridge_B1HD_SC","84,832"
"/d/r/sp/HLO","84,753"
"/d/r/ne/IHT","84,671"
"/d/r/we/HPI","84,542"
